business,title,where,when,apply,remote,requisits,requisits_compleixes,requisits_no_compleixes,numero_requisits,numero_requisits_compleixes,numero_requisits_no_compleixes
CIDETEC,Investigador/a predoctoral para la línea de Diagnóstico de Baterías,"Donostia-San Sebastián, País Vasco / Euskadi, España",Publicado de nuevo hace 3 semanas,23 solicitudes,Jornada completa,"['Algoritmos', 'Comunicación', 'Estadística', 'Inglés', 'Programación', 'Programación en C', 'Almacenamiento de energía\nAñadir', 'Desarrollo de algoritmos\nAñadir', 'Detección de anomalías\nAñadir', 'Vehículos eléctricos\nAñadir']","['Algoritmos', 'Comunicación', 'Estadística', 'Inglés', 'Programación', 'Programación en C']","['Almacenamiento de energía\nAñadir', 'Desarrollo de algoritmos\nAñadir', 'Detección de anomalías\nAñadir', 'Vehículos eléctricos\nAñadir']",10.0,6.0,4.0
WeDoData,SAS Consultant,"Madrid, Comunidad de Madrid, España",hace 4 semanas,65 solicitudes,Híbrido,"['Capacidad de análisis', 'SAS', 'Modelado\nAñadir']","['Capacidad de análisis', 'SAS']",['Modelado\nAñadir'],3.0,2.0,1.0
SDG Group España,Manager Data & Analytics (Inglés Alto),"Valencia/València, Comunidad Valenciana / Comunitat Valenciana, España",Publicado de nuevo hace 2 semanas,89 solicitudes,Híbrido,"['Inglés', 'Soporte técnico', 'Desarrollo de proyectos\nAñadir', 'Dirección de equipos\nAñadir', 'Inteligencia empresarial\nAñadir', 'Pensamiento crítico\nAñadir', 'Project Plus\nAñadir', 'SAP BW\nAñadir', 'Toma de decisiones\nAñadir', 'Trabajo en equipo\nAñadir']","['Inglés', 'Soporte técnico']","['Desarrollo de proyectos\nAñadir', 'Dirección de equipos\nAñadir', 'Inteligencia empresarial\nAñadir', 'Pensamiento crítico\nAñadir', 'Project Plus\nAñadir', 'SAP BW\nAñadir', 'Toma de decisiones\nAñadir', 'Trabajo en equipo\nAñadir']",10.0,2.0,8.0
SISTEPLANT,"Ingeniero/a de Proyectos de Implantación de Software de Sistema MES, GMAO e Inteligencia Artificial","Barcelona, Cataluña, España",hace 2 semanas,16 solicitudes,Híbrido,"['Automatización industrial', 'Control industrial', 'Ingeniería', 'Ingeniería industrial', 'Inteligencia artificial', 'SQL', 'Soporte técnico', 'GMAO\nAñadir', 'Gestión de implementación de software\nAñadir', 'Implantación de software\nAñadir', 'Industria 4.0\nAñadir', 'Manufacturing Execution System\nAñadir', 'Planificación\nAñadir']","['Automatización industrial', 'Control industrial', 'Ingeniería', 'Ingeniería industrial', 'Inteligencia artificial', 'SQL', 'Soporte técnico']","['GMAO\nAñadir', 'Gestión de implementación de software\nAñadir', 'Implantación de software\nAñadir', 'Industria 4.0\nAñadir', 'Manufacturing Execution System\nAñadir', 'Planificación\nAñadir']",13.0,7.0,6.0
Apex Systems,AI Support Engineer,"Barcelona, Cataluña, España",hace 1 semana,27 solicitudes,Contrato por obra,"['Python', 'Amazon Web Services (AWS)\nAñadir']",['Python'],['Amazon Web Services (AWS)\nAñadir'],2.0,1.0,1.0
TransPerfect,Artificial Intelligence Software Engineer,"Barcelona, Cataluña, España",hace 2 semanas,71 solicitudes,Híbrido,"['.NET Framework', 'Angular', 'Base de datos relacional', 'C#', 'Inglés', 'JavaScript', 'Liderazgo de equipos', 'Python', 'Experiencia de usuario\nAñadir', 'Metodologías ágiles\nAñadir', 'Prueba unitaria\nAñadir']","['.NET Framework', 'Angular', 'Base de datos relacional', 'C#', 'Inglés', 'JavaScript', 'Liderazgo de equipos', 'Python']","['Experiencia de usuario\nAñadir', 'Metodologías ágiles\nAñadir', 'Prueba unitaria\nAñadir']",11.0,8.0,3.0
Intrum,MLOps Engineer,"Madrid, Comunidad de Madrid, España",hace 3 semanas,16 solicitudes,Híbrido,"['Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Ciencias de la computación', 'Procesamiento de lenguaje natural', 'Reconocimiento de patrones', 'Visión por computador', 'Administración de sistemas Linux\nAñadir', 'MLOps\nAñadir', 'PySpark\nAñadir']","['Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Ciencias de la computación', 'Procesamiento de lenguaje natural', 'Reconocimiento de patrones', 'Visión por computador']","['Administración de sistemas Linux\nAñadir', 'MLOps\nAñadir', 'PySpark\nAñadir']",10.0,7.0,3.0
SDG Group España,Data Streaming Specialist,España,Publicado de nuevo hace 1 mes,Más de 100 solicitudes,En remoto,"['Big data', 'Apache Flink\nAñadir', 'Apache Kafka\nAñadir', 'Apache Spark Streaming\nAñadir', 'Azure Databricks\nAñadir', 'Computación en la nube\nAñadir', 'Confluent\nAñadir', 'Innovación tecnológica\nAñadir', 'Kafka Streams\nAñadir', 'Streaming de datos\nAñadir']",['Big data'],"['Apache Flink\nAñadir', 'Apache Kafka\nAñadir', 'Apache Spark Streaming\nAñadir', 'Azure Databricks\nAñadir', 'Computación en la nube\nAñadir', 'Confluent\nAñadir', 'Innovación tecnológica\nAñadir', 'Kafka Streams\nAñadir', 'Streaming de datos\nAñadir']",10.0,1.0,9.0
NTT DATA Europe & Latam,Natural developer,"Murcia, Región de Murcia, España",hace 3 semanas,29 solicitudes,Híbrido,"['Desarrollo web', 'ADABAS\nAñadir', 'Bases de datos\nAñadir']",['Desarrollo web'],"['ADABAS\nAñadir', 'Bases de datos\nAñadir']",3.0,1.0,2.0
NTT DATA Europe & Latam,Business Intelligence Developer,Murcia y alrededores,hace 3 semanas,88 solicitudes,Híbrido,"['Analítica de datos', 'Microsoft Power BI', 'Panel de control', 'Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Expresiones de análisis de datos (DAX)\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Inteligencia empresarial\nAñadir', 'MicroStrategy\nAñadir', 'SQL Server Analysis Services (SSAS)\nAñadir']","['Analítica de datos', 'Microsoft Power BI', 'Panel de control']","['Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Expresiones de análisis de datos (DAX)\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Inteligencia empresarial\nAñadir', 'MicroStrategy\nAñadir', 'SQL Server Analysis Services (SSAS)\nAñadir']",10.0,3.0,7.0
Huxley,Data Warehouse BI,"Barcelona, Cataluña, España",hace 3 semanas,47 solicitudes,Jornada completa,"['SQL', 'Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Greenplum\nAñadir', 'JIRA\nAñadir', 'MicroStrategy\nAñadir', 'Modelado de datos\nAñadir', 'SAP BusinessObjects\nAñadir', 'SQL Server Integration Services (SSIS)\nAñadir']",['SQL'],"['Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Greenplum\nAñadir', 'JIRA\nAñadir', 'MicroStrategy\nAñadir', 'Modelado de datos\nAñadir', 'SAP BusinessObjects\nAñadir', 'SQL Server Integration Services (SSIS)\nAñadir']",10.0,1.0,9.0
W3Global,Data Engineer with Snowflake,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,En remoto,"['Analítica de datos', 'Análisis de datos', 'SQL', 'Visualización de datos', 'Arquitectura de datos\nAñadir', 'Bases de datos\nAñadir', 'Modelado de datos\nAñadir', 'Perfiles de datos\nAñadir', 'Snowflake\nAñadir', 'Snowflake cloud\nAñadir']","['Analítica de datos', 'Análisis de datos', 'SQL', 'Visualización de datos']","['Arquitectura de datos\nAñadir', 'Bases de datos\nAñadir', 'Modelado de datos\nAñadir', 'Perfiles de datos\nAñadir', 'Snowflake\nAñadir', 'Snowflake cloud\nAñadir']",10.0,4.0,6.0
SDG Group España,Data Lake Engineer,España,Publicado de nuevo hace 1 semana,49 solicitudes,En remoto,"['Big data', 'Amazon EMR\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Spark\nAñadir', 'Apache Spark Streaming\nAñadir', 'Azure Databricks\nAñadir', 'Elasticsearch\nAñadir', 'Microsoft Azure\nAñadir']",['Big data'],"['Amazon EMR\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Spark\nAñadir', 'Apache Spark Streaming\nAñadir', 'Azure Databricks\nAñadir', 'Elasticsearch\nAñadir', 'Microsoft Azure\nAñadir']",8.0,1.0,7.0
knowmad mood,Data Engineer GCP (Hibrido),"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 mes,Más de 100 solicitudes,Híbrido,"['Git', 'Python', 'SQL', 'Google Cloud\nAñadir']","['Git', 'Python', 'SQL']",['Google Cloud\nAñadir'],4.0,3.0,1.0
Softtek,Machine Learning Operation Engineer (MLOps),"Málaga, Andalucía, España",hace 2 semanas,80 solicitudes,Híbrido,"['Aprendizaje automático', 'Amazon Web Services (AWS)\nAñadir', 'Athena\nAñadir']",['Aprendizaje automático'],"['Amazon Web Services (AWS)\nAñadir', 'Athena\nAñadir']",3.0,1.0,2.0
GRUPO NEOELECTRA,Técnico Analista de Mercado,"Sant Just Desvern, Cataluña, España",hace 2 semanas,37 solicitudes,Jornada completa,"['Capacidad de análisis', 'Inglés', 'Liderazgo de equipos', 'Closeouts\nAñadir', 'Experiencia en el sector\nAñadir', 'Investigación\nAñadir', 'Investigación de mercado\nAñadir', 'Liquidación de activos\nAñadir', 'Rentabilidad\nAñadir', 'Seguimiento\nAñadir']","['Capacidad de análisis', 'Inglés', 'Liderazgo de equipos']","['Closeouts\nAñadir', 'Experiencia en el sector\nAñadir', 'Investigación\nAñadir', 'Investigación de mercado\nAñadir', 'Liquidación de activos\nAñadir', 'Rentabilidad\nAñadir', 'Seguimiento\nAñadir']",10.0,3.0,7.0
Clarivate,Senior Data Scientist,Barcelona y alrededores,Publicado de nuevo hace 4 semanas,Más de 100 solicitudes,Híbrido,"['Aprendizaje automático', 'Capacidad de análisis', 'Ciencia de datos', 'Comunicación', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Python', 'Adquisición de datos\nAñadir', 'Desarrollo de productos\nAñadir', 'Investigación aplicada\nAñadir']","['Aprendizaje automático', 'Capacidad de análisis', 'Ciencia de datos', 'Comunicación', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Python']","['Adquisición de datos\nAñadir', 'Desarrollo de productos\nAñadir', 'Investigación aplicada\nAñadir']",10.0,7.0,3.0
SDG Group España,AI Solutions Architect,España,Publicado de nuevo hace 1 semana,Más de 100 solicitudes,En remoto,"['Ciencia de datos', 'Inteligencia artificial', 'Python', 'Arquitectura de soluciones\nAñadir', 'MLOps\nAñadir', 'Microsoft Azure Machine Learning\nAñadir']","['Ciencia de datos', 'Inteligencia artificial', 'Python']","['Arquitectura de soluciones\nAñadir', 'MLOps\nAñadir', 'Microsoft Azure Machine Learning\nAñadir']",6.0,3.0,3.0
Roche,Senior Data Scientist - NLP,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Jornada completa,"['Ciencia de datos', 'Ciencias de la computación', 'Estadística', 'Inteligencia artificial', 'Minería de datos', 'Procesamiento de lenguaje natural', 'Reconocimiento de patrones', 'Narración de datos\nAñadir', 'Optimising\nAñadir', 'Soluciones analíticas\nAñadir']","['Ciencia de datos', 'Ciencias de la computación', 'Estadística', 'Inteligencia artificial', 'Minería de datos', 'Procesamiento de lenguaje natural', 'Reconocimiento de patrones']","['Narración de datos\nAñadir', 'Optimising\nAñadir', 'Soluciones analíticas\nAñadir']",10.0,7.0,3.0
TD SYNNEX Spain,Data Domain Expert,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 días,80 solicitudes,Híbrido,"['Analítica de datos', 'Comunicación', 'Visualización de datos', 'Analítica\nAñadir', 'Análisis de bases de datos\nAñadir', 'Datos maestros\nAñadir', 'Estrategia de datos\nAñadir', 'Gobierno de datos\nAñadir', 'Introducción de datos\nAñadir', 'Lenguaje de consulta (query)\nAñadir']","['Analítica de datos', 'Comunicación', 'Visualización de datos']","['Analítica\nAñadir', 'Análisis de bases de datos\nAñadir', 'Datos maestros\nAñadir', 'Estrategia de datos\nAñadir', 'Gobierno de datos\nAñadir', 'Introducción de datos\nAñadir', 'Lenguaje de consulta (query)\nAñadir']",10.0,3.0,7.0
Talent-R,Python Developer | Cyber-security | up to 100K 💰| Barcelona 📍,"Barcelona, Cataluña, España",hace 2 semanas,Más de 100 solicitudes,Jornada completa,"['Desarrollo web back end', 'Docker', 'Linux', 'Python', 'Microservicios\nAñadir']","['Desarrollo web back end', 'Docker', 'Linux', 'Python']",['Microservicios\nAñadir'],5.0,4.0,1.0
Laboratorio Echevarne,Analista Programador/a,"Sant Cugat del Vallès, Cataluña, España",Publicado de nuevo hace 4 días,Más de 100 solicitudes,Jornada completa,"['Intersystems Cache\nAñadir', 'SOAP\nAñadir', 'Web Services API\nAñadir']",[],"['Intersystems Cache\nAñadir', 'SOAP\nAñadir', 'Web Services API\nAñadir']",3.0,0.0,3.0
IPROMOR MAQUINARIA SL,OFERTA EMPLEO: INGENIERO PREVENTA,"Córdoba, Andalucía, España",hace 9 minutos,0 solicitudes,Jornada completa,NA,NA,NA,2.0,2.0,2.0
Claire Joster,Enginyer de projectes (ferroviari),"Barcelona, Cataluña, España",hace 2 semanas,30 solicitudes,Jornada completa,"['Diseño asistido por ordenador (CAD)', 'Hojas de estilos en cascada (CSS)', 'Ingeniería de procesos', 'Ingeniería de proyectos', 'Liderazgo de equipos', 'Contratación de directivos\nAñadir', 'Controlador lógico programable\nAñadir', 'Ingeniería civil\nAñadir', 'Plecs\nAñadir', 'Puesta en marcha\nAñadir']","['Diseño asistido por ordenador (CAD)', 'Hojas de estilos en cascada (CSS)', 'Ingeniería de procesos', 'Ingeniería de proyectos', 'Liderazgo de equipos']","['Contratación de directivos\nAñadir', 'Controlador lógico programable\nAñadir', 'Ingeniería civil\nAñadir', 'Plecs\nAñadir', 'Puesta en marcha\nAñadir']",10.0,5.0,5.0
Tata Consultancy Services,Data Engineer,"Madrid, Comunidad de Madrid, España",hace 3 semanas,90 solicitudes,Híbrido,"['DevOps', 'Español', 'Inglés', 'Python', 'Amazon Simple Notification Service (SNS)\nAñadir', 'Data Build Tool (DBT)\nAñadir', 'Diseño de procesos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'JSON\nAñadir', 'Scaled Agile Framework (SAFe)\nAñadir', 'Snowflake\nAñadir']","['DevOps', 'Español', 'Inglés', 'Python']","['Amazon Simple Notification Service (SNS)\nAñadir', 'Data Build Tool (DBT)\nAñadir', 'Diseño de procesos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'JSON\nAñadir', 'Scaled Agile Framework (SAFe)\nAñadir', 'Snowflake\nAñadir']",11.0,4.0,7.0
The Knot Worldwide,Data Engineer,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Jornada completa,"['Ciencias de la computación', 'Ingeniería de datos', 'Canalizaciones de datos\nAñadir', 'Data Marts\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir']","['Ciencias de la computación', 'Ingeniería de datos']","['Canalizaciones de datos\nAñadir', 'Data Marts\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir']",5.0,2.0,3.0
Fluidra,Master Data Owner,"Sant Cugat del Vallès, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completa,"['Ciencias de la computación', 'Comunicación', 'Gestión de datos', 'Resolución de problemas', 'Datos maestros\nAñadir', 'Estándares de datos\nAñadir', 'Gestión de datos maestros\nAñadir', 'Gestión de partes interesadas\nAñadir', 'Integridad de la información\nAñadir', 'Métricas de calidad\nAñadir']","['Ciencias de la computación', 'Comunicación', 'Gestión de datos', 'Resolución de problemas']","['Datos maestros\nAñadir', 'Estándares de datos\nAñadir', 'Gestión de datos maestros\nAñadir', 'Gestión de partes interesadas\nAñadir', 'Integridad de la información\nAñadir', 'Métricas de calidad\nAñadir']",10.0,4.0,6.0
Inetum,Presales Data,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Análisis de datos', 'Ingeniería de datos', 'Liderazgo de equipos', 'Panel de control', 'Bases de datos\nAñadir', 'Modelado de datos\nAñadir', 'Preventas\nAñadir', 'Procesos de negocio\nAñadir', 'Servicio de atención al cliente\nAñadir', 'Visualización\nAñadir']","['Análisis de datos', 'Ingeniería de datos', 'Liderazgo de equipos', 'Panel de control']","['Bases de datos\nAñadir', 'Modelado de datos\nAñadir', 'Preventas\nAñadir', 'Procesos de negocio\nAñadir', 'Servicio de atención al cliente\nAñadir', 'Visualización\nAñadir']",10.0,4.0,6.0
Asenium,Data Architect in Madrid,"Madrid, Comunidad de Madrid, España",hace 2 semanas,24 solicitudes,Híbrido,"['Amazon Web Services (AWS)\nAñadir', 'Arquitectura de datos\nAñadir', 'Google Cloud\nAñadir', 'Microsoft Azure\nAñadir']",[],"['Amazon Web Services (AWS)\nAñadir', 'Arquitectura de datos\nAñadir', 'Google Cloud\nAñadir', 'Microsoft Azure\nAñadir']",4.0,0.0,4.0
Minsait,Data & Analytics Consultant-Sr Consultant (hibrido),"Barcelona, Cataluña, España",hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Microsoft Power BI', 'Python', 'SAS', 'SQL', 'QlikView\nAñadir']","['Microsoft Power BI', 'Python', 'SAS', 'SQL']",['QlikView\nAñadir'],5.0,4.0,1.0
SALTO,Data developer specialist,"Oiartzun, País Vasco / Euskadi, España",hace 3 semanas,33 solicitudes,Híbrido,"['Ciencia de datos', 'Ciencias de la computación', 'Ingeniería de datos', 'Inglés', 'Minería de datos', 'Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Herramientas de inteligencia de negocios\nAñadir', 'Inteligencia empresarial\nAñadir']","['Ciencia de datos', 'Ciencias de la computación', 'Ingeniería de datos', 'Inglés', 'Minería de datos']","['Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Herramientas de inteligencia de negocios\nAñadir', 'Inteligencia empresarial\nAñadir']",10.0,5.0,5.0
SDG Group España,AI Tech pre-sales (Spain),"Barcelona, Cataluña, España",hace 1 semana,4 solicitudes,Híbrido,"['Ciencia de datos', 'Inteligencia artificial', 'Python', 'Arquitectura de datos\nAñadir', 'External Clients\nAñadir', 'Hoja de ruta tecnológica\nAñadir', 'IA generativa\nAñadir', 'Large Language Models (LLM)\nAñadir', 'MLOps\nAñadir', 'MLflow\nAñadir']","['Ciencia de datos', 'Inteligencia artificial', 'Python']","['Arquitectura de datos\nAñadir', 'External Clients\nAñadir', 'Hoja de ruta tecnológica\nAñadir', 'IA generativa\nAñadir', 'Large Language Models (LLM)\nAñadir', 'MLOps\nAñadir', 'MLflow\nAñadir']",10.0,3.0,7.0
SDG Group España,Streaming Data Engineer,España,Publicado de nuevo hace 1 mes,Más de 100 solicitudes,En remoto,"['Amazon Web Services (AWS)\nAñadir', 'Apache Flink\nAñadir', 'Apache Kafka\nAñadir', 'Apache Spark\nAñadir', 'Apache Spark Streaming\nAñadir', 'Kafka Streams\nAñadir', 'Microsoft Azure\nAñadir']",[],"['Amazon Web Services (AWS)\nAñadir', 'Apache Flink\nAñadir', 'Apache Kafka\nAñadir', 'Apache Spark\nAñadir', 'Apache Spark Streaming\nAñadir', 'Kafka Streams\nAñadir', 'Microsoft Azure\nAñadir']",7.0,0.0,7.0
Between Technology,Ingeniero/a de Simulación CFD,"Gavà, Cataluña, España",hace 2 semanas,Más de 100 solicitudes,Jornada completa,"['Ingeniería industrial', 'Mecánica de fluidos', 'Programación', 'Aeronáutica\nAñadir', 'Ensight\nAñadir', 'Fluidodinámica\nAñadir', 'Informes técnicos\nAñadir', 'Mecánica de fluidos computacional\nAñadir', 'Simulaciones\nAñadir', 'SpaceClaim\nAñadir']","['Ingeniería industrial', 'Mecánica de fluidos', 'Programación']","['Aeronáutica\nAñadir', 'Ensight\nAñadir', 'Fluidodinámica\nAñadir', 'Informes técnicos\nAñadir', 'Mecánica de fluidos computacional\nAñadir', 'Simulaciones\nAñadir', 'SpaceClaim\nAñadir']",10.0,3.0,7.0
SITA,MLOPs Engineer ( Machine Learning) - Graduate,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Ciencia de datos', 'Ciencias de la computación', 'Comunicación', 'Inteligencia artificial', 'Python', 'Reconocimiento de patrones', 'Aviation Operations\nAñadir', 'FastAPI\nAñadir', 'Ingeniería de características\nAñadir', 'SQLAlchemy\nAñadir']","['Ciencia de datos', 'Ciencias de la computación', 'Comunicación', 'Inteligencia artificial', 'Python', 'Reconocimiento de patrones']","['Aviation Operations\nAñadir', 'FastAPI\nAñadir', 'Ingeniería de características\nAñadir', 'SQLAlchemy\nAñadir']",10.0,6.0,4.0
Minsait,Analista FHIR y/o HL7 - Sanidad,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 3 días,36 solicitudes,En remoto,"['Java', 'Apache Camel\nAñadir', 'Fast Healthcare Interoperability Resources (FHIR)\nAñadir', 'HL7\nAñadir', 'JBoss Application Server\nAñadir', 'Red Hat Linux\nAñadir', 'TIC\nAñadir', 'Tecnologías de la información en sanidad\nAñadir']",['Java'],"['Apache Camel\nAñadir', 'Fast Healthcare Interoperability Resources (FHIR)\nAñadir', 'HL7\nAñadir', 'JBoss Application Server\nAñadir', 'Red Hat Linux\nAñadir', 'TIC\nAñadir', 'Tecnologías de la información en sanidad\nAñadir']",8.0,1.0,7.0
NTT DATA Europe & Latam,DATA SCIENTIST SENIOR - SECTOR PÚBLICO Y SANIDAD,Madrid y alrededores,Publicado de nuevo hace 2 días,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Big data', 'Ciencia de datos', 'Python', 'SAS', 'SQL', 'Grafos\nAñadir', 'Microsoft Azure Machine Learning\nAñadir', 'Salud pública\nAñadir', 'Sector público\nAñadir']","['Analítica de datos', 'Big data', 'Ciencia de datos', 'Python', 'SAS', 'SQL']","['Grafos\nAñadir', 'Microsoft Azure Machine Learning\nAñadir', 'Salud pública\nAñadir', 'Sector público\nAñadir']",10.0,6.0,4.0
Softtek,Big Data Engineer,España,hace 3 semanas,Más de 100 solicitudes,En remoto,"['Big data', 'Python', 'Apache Kafka\nAñadir', 'Apache Spark\nAñadir', 'Scala\nAñadir']","['Big data', 'Python']","['Apache Kafka\nAñadir', 'Apache Spark\nAñadir', 'Scala\nAñadir']",5.0,2.0,3.0
HOLA CONSULTORES SL,Product Lead,Barcelona y alrededores,hace 3 semanas,63 solicitudes,Híbrido,"['Ciencia de datos', 'Liderazgo de equipos', 'Atención en el cliente\nAñadir', 'Creatividad\nAñadir', 'Entrega de productos\nAñadir', 'Gestión de productos\nAñadir', 'IA generativa\nAñadir', 'Investigación\nAñadir', 'Liderazgo de equipos multidisciplinarios\nAñadir', 'Orientación al cliente\nAñadir']","['Ciencia de datos', 'Liderazgo de equipos']","['Atención en el cliente\nAñadir', 'Creatividad\nAñadir', 'Entrega de productos\nAñadir', 'Gestión de productos\nAñadir', 'IA generativa\nAñadir', 'Investigación\nAñadir', 'Liderazgo de equipos multidisciplinarios\nAñadir', 'Orientación al cliente\nAñadir']",10.0,2.0,8.0
Grupo Viajes El Corte Inglés,Desarrollador/a Python,"Palma, Islas Baleares, España",hace 1 semana,Más de 100 solicitudes,Híbrido,"['Django', 'Python', 'Bases de datos\nAñadir', 'Control de versiones\nAñadir', 'Falcon\nAñadir', 'Gestión de configuración de software\nAñadir', 'JSON\nAñadir', 'Prueba unitaria\nAñadir', 'Pruebas de integración\nAñadir', 'Redis\nAñadir']","['Django', 'Python']","['Bases de datos\nAñadir', 'Control de versiones\nAñadir', 'Falcon\nAñadir', 'Gestión de configuración de software\nAñadir', 'JSON\nAñadir', 'Prueba unitaria\nAñadir', 'Pruebas de integración\nAñadir', 'Redis\nAñadir']",10.0,2.0,8.0
Cognizant,Programmer Analyst,"Navalcarnero, Comunidad de Madrid, España",hace 1 semana,15 solicitudes,En remoto,"['Capacidad de análisis', 'Desarrollo de software', 'Programación', 'Pruebas web', 'Aseguramiento de la calidad\nAñadir', 'Automatización QA\nAñadir', 'Cucumber\nAñadir', 'Document Object Model\nAñadir', 'Gherkin\nAñadir', 'JIRA\nAñadir']","['Capacidad de análisis', 'Desarrollo de software', 'Programación', 'Pruebas web']","['Aseguramiento de la calidad\nAñadir', 'Automatización QA\nAñadir', 'Cucumber\nAñadir', 'Document Object Model\nAñadir', 'Gherkin\nAñadir', 'JIRA\nAñadir']",10.0,4.0,6.0
Redsys Servicios de Procesamiento S. L.,MLOps (Data Science Sistemas de gestión de Fraude),"Madrid, Comunidad de Madrid, España",hace 1 semana,68 solicitudes,Híbrido,"['Lenguajes de programación', 'Control de versiones\nAñadir', 'Detección de anomalías\nAñadir', 'Ejecución de proyectos\nAñadir', 'Herramientas de colaboración\nAñadir', 'Ideas empresariales\nAñadir', 'Naciones Unidas\nAñadir', 'Pruebas A/B\nAñadir', 'Secuencia de comandos\nAñadir', 'Sistemas de pago\nAñadir']",['Lenguajes de programación'],"['Control de versiones\nAñadir', 'Detección de anomalías\nAñadir', 'Ejecución de proyectos\nAñadir', 'Herramientas de colaboración\nAñadir', 'Ideas empresariales\nAñadir', 'Naciones Unidas\nAñadir', 'Pruebas A/B\nAñadir', 'Secuencia de comandos\nAñadir', 'Sistemas de pago\nAñadir']",10.0,1.0,9.0
Certara,Senior Scientist QSP,España,Publicado de nuevo hace 2 semanas,51 solicitudes,En remoto,"['Biología\nAñadir', 'Biología celular\nAñadir', 'Biología molecular\nAñadir', 'Clonación de genes\nAñadir', 'Cultivos celulares\nAñadir', 'Desarrollo clínico\nAñadir', 'Descubrimiento de fármacos\nAñadir', 'Farmacología\nAñadir', 'PCR en tiempo real\nAñadir', 'Reacción en cadena de la polimerasa\nAñadir']",[],"['Biología\nAñadir', 'Biología celular\nAñadir', 'Biología molecular\nAñadir', 'Clonación de genes\nAñadir', 'Cultivos celulares\nAñadir', 'Desarrollo clínico\nAñadir', 'Descubrimiento de fármacos\nAñadir', 'Farmacología\nAñadir', 'PCR en tiempo real\nAñadir', 'Reacción en cadena de la polimerasa\nAñadir']",10.0,0.0,10.0
Eurecat - Centro Tecnológico,DATA SCIENTIST AND MACHINE LEARNING ENGINEER Industry & Logistics,"Barcelona, Cataluña, España",hace 5 meses,Más de 100 solicitudes,Híbrido,"['Análisis predictivo', 'Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Comunicación', 'Inteligencia artificial', 'Python', 'Reconocimiento de patrones', 'Visión por computador', 'Optimización\nAñadir']","['Análisis predictivo', 'Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Comunicación', 'Inteligencia artificial', 'Python', 'Reconocimiento de patrones', 'Visión por computador']",['Optimización\nAñadir'],10.0,9.0,1.0
Spring Professional,Data Scientist IA,"Barcelona, Cataluña, España",hace 6 meses,55 solicitudes,Híbrido,"['Analítica de datos', 'Análisis predictivo', 'Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'R (Lenguaje de programación)', 'SQL', 'Qlik Sense\nAñadir']","['Analítica de datos', 'Análisis predictivo', 'Aprendizaje automático', 'Aprendizaje profundo', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'R (Lenguaje de programación)', 'SQL']",['Qlik Sense\nAñadir'],10.0,9.0,1.0
